"Experiment page name",Study,"Location of subjects","Host species","Body site","UBERON ID",Condition,"EFO ID","Group 0 name","Group 1 name","Group 1 definition","Group 0 sample size","Group 1 sample size","Antibiotics exclusion","Sequencing type","16S variable region","Sequencing platform","Statistical test","Significance threshold","MHT correction","LDA Score above","Matched on","Confounders controlled for",Pielou,Shannon,Chao1,Simpson,"Inverse Simpson",Richness,State,Reviewer
"Experiment 1","Study 693",China,"Homo sapiens",Feces,UBERON:0001988,"hepatocellular carcinoma",EFO:0000182,Non-responders,Responders,"Responders (R, n = 3) were defined by radiographic evidence as complete or partial response, or stable disease lasting for at least six months.",5,3,,WMS,,"BGISEQ-500 Sequencing",LEfSe,0.05,,2,,,,,,,,increased,Complete,Fatima
"Experiment 1","Study 692",China,"Homo sapiens",Feces,UBERON:0001988,Nutraceutical,CHEBI:50733,"colorectal cancer patients who didn't take prebiotics (preoperative fecal sample)","colorectal cancer patients who took prebiotics (preoperative fecal sample)","Patients with radiologic and pathologic diagnosis of CRC (preoperatively). Patients in the intervention group (prebiotic group) received a daily oral dose of 30 g prebiotic supplement (Hangzhou Niuqu Biotech Co., Hainengbo, China) containing fructooligosaccharide (25%), xylooligosaccharide (25%), polydextrose (25%), and resistant dextrin (25%) for 7 d from hospitalization to the day before the operation.",20,18,"no treatment with antibiotics within 6 mo before surgery",16S,"3,4",Illumina,"Mann-Whitney (Wilcoxon)",0.05,false,,,,,increased,,,,,Complete,
"Experiment 1","Study 687",China,"Homo sapiens",Feces,UBERON:0001988,"Colorectal adenocarcinoma",EFO:0000365,"healthy controls","colorectal cancer patients","diagnosed of colorectal cancer by colonoscopy and histopathology",20,44,"1 month",16S,"3,4",Illumina,LEfSe,0.05,false,4,,,,decreased,,decreased,,,Complete,Fatima
"Experiment 1","Study 691",Netherlands,"Homo sapiens",Feces,UBERON:0001988,"metastatic melanoma",EFO:0002617,Non-responders,Responders,"Patients with a confirmed response, defined as a complete response, partial response (PR) or stable disease (SD) according to RECIST 12 weeks after start of therapy that was ongoing at the next radiological evaluation, were labelled ‘responder’. In order to include late responders in our analysis, patients with progressive disease (PD) on the first radiological evaluation but a response at the second radiological evaluation compared to baseline were also labelled ‘responder’.",13,12,,WMS,,Illumina,"Fisher's Exact Test",0.05,true,,,"age,antibiotic exposure,body mass index,sex",,unchanged,,,,,Complete,
"Experiment 1","Study 689","United States of America","Homo sapiens",Feces,UBERON:0001988,"metastatic melanoma",EFO:0002617,Progressive,Responders,"Twenty-four patients showed RECIST response (19, 49%) or stable (5, 13%) disease to ICT, what we classify as responders in this study",16,23,,WMS,,Illumina,LEfSe,0.05,,,,,,,,,,,Complete,
"Experiment 1","Study 680",China,"Homo sapiens",Feces,UBERON:0001988,"Breast cancer",MONDO:0007254,"patients treated with conventional dose","patients treated with metronomic dose of capecitabine","Patients with HER2-negative metastatic breast cancer who receive metronomic capecitabine as maintenance treatment.",16,15,,16S,4,Illumina,"Mann-Whitney (Wilcoxon)",0.05,,,,,unchanged,unchanged,,,,,Complete,Fatima
"Experiment 1","Study 690",Japan,"Homo sapiens",Feces,UBERON:0001988,"non-small cell lung carcinoma",EFO:0003060,Non-responders,Responders,"We defined responder (R) (partial response to ICI treatment) or non-responder (NR) (stable or progressive disease after ICI treatment at the time of first clinical evaluation) according to the RECIST 1.1 evaluation.",11,6,,16S,"1,2",Illumina,LEfSe,0.05,,3,,,,unchanged,,,,,Complete,Fatima
"Experiment 1","Study 1","United States of America","Homo sapiens",Feces,UBERON:0001988,adenoma,EFO:0000232,controls,"conventional adenoma cases","conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.",323,144,"NYU included who had not been on long-term antibiotic treatment",16S,4,Illumina,DESeq2,0.1,true,,,"age,body mass index,sex",,decreased,,,,decreased,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 216",Netherlands,"Homo sapiens",Meconium,UBERON:0007109,"cesarean section",EFO:0009636,"vaginal delivery",C-section,,80,28,"use of antibiotics between 2 weeks prior to delivery and 2 weeks after delivery, for any reason except for prophylactic use (e.g. cesar- ean section).",16S,,RT-qPCR,,,false,,,,,,,,,,Complete,
"Experiment 1","Study 214","United States of America","Homo sapiens",Feces,UBERON:0001988,"milk allergic reaction",EFO:0007369,"milk allergy resolution","children with milk allergy persistence","child with persistent milk allergy",128,98,,16S,4,Illumina,LEfSe,0.05,false,2,,,,,,,,,Complete,
"Experiment 1","Study 218",China,"Homo sapiens",Feces,UBERON:0001988,"hepatocellular carcinoma",EFO:0000182,"healthy controls","non-HBV non-HCV related HCC","HCC patients whose disease is not related to hepatitis B/hepatitis virus",33,22,,16S,4,Illumina,"Mann-Whitney (Wilcoxon)",0.05,true,,,,,unchanged,increased,unchanged,,,Complete,Claregrieve1
"Experiment 1","Study 217",Finland,"Homo sapiens",Feces,UBERON:0001988,Eczema,HP:0000964,"healthy control","child with eczema","child with eczema",19,15,,16S,,"Human Intestinal Tract Chip",ANOVA,0.05,false,,,,,,,,increased,,Complete,
"Experiment 1","Study 221",Finland,"Homo sapiens",Feces,UBERON:0001988,"urinary tract infection",EFO:0003103,"healthy controls","urinary tract infection","urinary tract infection",69,37,,16S,"4,5","Ion Torrent",LEfSe,,false,3,"age,sex",,,unchanged,unchanged,,,,Complete,
"Experiment 1","Study 222",Colombia,"Homo sapiens",Stomach,UBERON:0000945,"Gastric cancer",MONDO:0001056,"low gastric cancer risk patients (Tumaco residents)","high gastric cancer risk patients (Tuquerres residents)","individuals from Tuquerres with high gastric cancer risk",20,20,"30 days",16S,,Illumina,Metastats,0.05,true,,"age,sex",,,,,,,,Complete,Claregrieve1
"Experiment 1","Study 10",Brazil,"Homo sapiens",Uterus,UBERON:0000995,"cervical glandular intraepithelial neoplasia",EFO:1000165,"Normal tissue HIV patients","Cervical Intraepithelial Lesion HIV patients","Cases were identified by HIV rapid or ELISA test and subsequent Western blot following recommendations for HIV diagnosis by the Brazilian Ministry of Health.",42,38,,16S,"3,4,5,6",Illumina,LEfSe,0.05,true,,,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 131",Brazil,"Homo sapiens",Feces,UBERON:0001988,diet,EFO:0002755,"Time 0 days controls","Time 7 days",,21,21,current,16S,"1,2,3",Roche454,"Mann-Whitney (Wilcoxon)",0.05,true,,,,,decreased,unchanged,,,unchanged,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 224","United States of America","Homo sapiens",Feces,UBERON:0001988,diet,EFO:0002755,baseline,"barley (WGB)","baseline (before fiber supplementation)",28,28,"3 months",16S,"1,2,3",Roche454,ANOVA,0.05,false,,,,,increased,unchanged,increased,,,Complete,
"Experiment 1","Study 225",Sweden,"Homo sapiens",Feces,UBERON:0001988,"atopic eczema",EFO:0000274,"healthy infant","infant with atopic eczema","infant with atopic eczema",20,20,,16S,"3,4",Roche454,edgeR,0.05,true,,,,,unchanged,,,,,Complete,
"Experiment 1","Study 166",China,"Homo sapiens",Feces,UBERON:0001988,"chronic kidney disease",EFO:0003884,"healthy controls","chronic kidney disease","patients with chronic kidney disease",24,49,"3 months",16S,"3,4",Illumina,LEfSe,0.05,false,2,,,,,,,,,Complete,Claregrieve1
"Experiment 1","Study 226",China,"Homo sapiens",Feces,UBERON:0001988,"HIV infection",EFO:0000764,"healthy controls","HIV-1 infected patients","HIV-1 diagnosed patients",16,67,"1 month",16S,"1,2,3",Roche454,LEfSe,0.05,true,2,"age,body mass index,sex",,,unchanged,unchanged,unchanged,,,Complete,Claregrieve1
"Experiment 1","Study 227","South Korea","Homo sapiens",Feces,UBERON:0001988,"atopic eczema",EFO:0000274,"healthy control","infant with transient atopic dermatitis","infant with transient atopic dermatitis",84,22,"before sample collection",16S,"1,2,3",Roche454,"Mann-Whitney (Wilcoxon)",0.05,false,,,,,unchanged,,,,unchanged,Complete,
"Experiment 1","Study 229","South Korea","Homo sapiens",Feces,UBERON:0001988,diet,EFO:0002755,"late pectin incubation time",early,"before/early pectin incubation",3,3,"6 months",16S,"1,2",RT-qPCR,"Linear Regression",0.1,true,,,,,,,,,,Complete,
"Experiment 1","Study 230",Japan,"Homo sapiens",Feces,UBERON:0001988,"food allergy",EFO:1001890,non-allergy,"infant with food allergy","infant with food allergy",27,14,,16S,"1,2",Illumina,"Mann-Whitney (Wilcoxon)",0.05,false,,,,,unchanged,,,,unchanged,Complete,
"Experiment 1","Study 228","United States of America","Homo sapiens",Feces,UBERON:0001988,diet,EFO:0002755,"day 6 of PECTIN spike-in","day 3 of PECTIN spike-in","before pectin spike-in",9,9,"6 months",16S,4,Illumina,DESeq2,0.1,true,,,"age,body mass index",,,,,,,Complete,
"Experiment 1","Study 232","United States of America","Homo sapiens",Feces,UBERON:0001988,"HIV infection",EFO:0000764,HC,"HIV infected cART negative","HIV infected patients not on combined anti-retroviral therapy",20,40,,16S,4,Illumina,Kruskall-Wallis,0.15,true,,,,,unchanged,decreased,,,,Complete,
"Experiment 1","Study 12","South Korea","Homo sapiens",Uterus,UBERON:0000995,"human papilloma virus infection",EFO:0001668,"HPV clearance","HPV persistent","HPV DNA was detected using the Digene HC2 high-risk DNA test (Qiagen, Gaithersburg, MD, USA) with signal amplification and chemiluminescence for 13 types of HR-HPV scored in RLU/PC. A positive result indicated a concentration of 1 pg/ml or higher than the RLU/cutoff ratio (RLU of the specimen/mean RLU of 2 positive controls).",15,16,,16S,,Roche454,LEfSe,0.05,false,2,,"age,contraception,menopause,smoking behavior",,unchanged,unchanged,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 233","United States of America","Homo sapiens","Colonic mucosa",UBERON:0000317,"HIV infection",EFO:0000764,"uninfected controls","HIV-infected subjects","Subjects with untreated chronic HIV-1 infection",14,18,"3 months",16S,4,Illumina,"Mann-Whitney (Wilcoxon)",0.05,false,,"age,sex",,,unchanged,unchanged,,,unchanged,Complete,Claregrieve1
"Experiment 1","Study 20",France,"Homo sapiens",Feces,UBERON:0001988,"non-alcoholic fatty liver disease",EFO:0003095,Non-NASH,NASH,"NAFLD was defined as liver steatosis on liver biopsy after exclusion of concomitant steatosis-inducing drugs, excessive alcohol consumption (>210 g/week in men or >140 g/week in women), chronic hepatitis B or C infection, and histological evidence of other concomitant chronic liver disease. NASH was defined as the presence of each of the three following conditions: steatosis grade 1; lobular inflammation grade 1; and ballooning grade 1. “Significant fibrosis” was defined as fibrosis stage F2.",22,35,"2 months",16S,4,Illumina,"Logistic Regression",0.1,false,,,"HDL cholesterol change measurement,blood pressure,body mass index,diabetes mellitus,hypertriglyceridemia,metabolic syndrome",,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 27","United States of America","Mus musculus",Feces,UBERON:0001988,obesity,EFO:0001073,"foster mother fat1 pre HFD","foster mother wild-type pre HFD","fat-1 mice: with a balanced tissue n-6/n-3 ratio (~ 1:1) and wild-type (WT) mice: with a high n-6/ n-3 ratio similar to the Western diet (> 10:1).",15,9,,16S,"3,4",Illumina,LEfSe,0.05,true,2.4,age,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 7","United States of America","Homo sapiens",Feces,UBERON:0001988,autism,EFO:0003758,"non-sibling control","severely autistic","Cases were diagnosed with autistic spectrum disorder. Moreover, they were evaluated for autism and their diagnoses were validated based on impairment in social skills, impairment in language skills and verbal communication, sensory disturbances, repetitive stereotypical behaviors, and gastrointestinal disturbances.",8,11,"within preceding month",16S,,Roche454,T-Test,0.05,false,,,,,,increased,,,increased,Complete,Fatima
"Experiment 1","Study 21","United States-Mexico Border","Homo sapiens",Feces,UBERON:0001988,obesity,EFO:0001073,"Human Microbiome Project samples","Cameron County Hispanic Cohort samples",,213,63,,16S,"1,2,3",Roche454,"Mann-Whitney (Wilcoxon)",0.02,true,,,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 23","United States of America","Homo sapiens",Feces,UBERON:0001988,"Alzheimer's disease",MONDO:0004975,"Healhty controls",Alzheimer's,,25,25,"6 months",16S,4,Illumina,DESeq2,0.05,true,,"age,sex",,,decreased,decreased,unchanged,unchanged,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 14",Netherlands,"Homo sapiens","Oral gland",UBERON:0010047,halitosis,HP:0100812,Control,"Oral Halitosis","IOH patient group was selected based on an organoleptic score of >= 2 from the mouth and nose =< 1, having a VSC level > 160 ppb, and H2S > 4 nmol/ L (96 ppb) and CH3SH > 0.5 nmol/L (12 ppb) and a DPSI of =< 2",5,10,"3 months",16S,"3,4",Illumina,DESeq2,0.05,true,,,,,unchanged,unchanged,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 11",Brazil,"Homo sapiens",Uterus,UBERON:0000995,"cervical glandular intraepithelial neoplasia",EFO:1000165,"HIV pateints with normal tissue at 6 months","HIV patients with lesion at 12 months","Cases were identified by HIV rapid or ELISA test and subsequent Western blot following recommendations for HIV diagnosis by the Brazilian Ministry of Health.",5,5,,16S,"3,4,5,6",Illumina,"Mann-Whitney (Wilcoxon)",0.1,false,,,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 18",Denmark,"Mus musculus",Feces,UBERON:0001988,obesity,EFO:0001073,"BL6- Low Fat","Sv129- Low Fat","(BL6): C57BL/6JBomTac mouse strain, (Sv129):  the obesity-resistant mouse strain 129S6/SvEvTac . LF:  (LF)low-fat diet, (HF) high fat diet without indomethacin,  (HFI) high fat diet supplemented with indomethacin.",10,7,,WMS,,Illumina,"Mann-Whitney (Wilcoxon)",0.05,true,,,,,increased,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 2","United States of America","Homo sapiens","Oral gland",UBERON:0010047,"head and neck squamous cell carcinoma",EFO:0000181,"normal adjacent tissues","squamous cell carcinoma tissues","Not stated",121,121,,16S,"1,2,3,4",Sanger,"Mann-Whitney (Wilcoxon)",0.05,true,,,,,unchanged,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 24",China,"Homo sapiens","Saliva-secreting gland",UBERON:0001044,"chronic fatigue syndrome",EFO:0004540,"Healthy controls","Chronic Fatigue patients",,45,46,"2 months for healthy control only",16S,"3,4",Illumina,LEfSe,0.05,false,3,"age,body mass index,sex",,,unchanged,,unchanged,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 26",Spain,"Homo sapiens",Feces,UBERON:0001988,"sex design",EFO:0001752,male,female,"three groups according to the BMI: BMI < 30; BMI between 30- 33; and BMI > 33.",39,36,,16S,4,Illumina,"Mann-Whitney (Wilcoxon)",0.05,true,,age,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 25","United States of America","Homo sapiens","Skin of body",UBERON:0002097,psoriasis,EFO:0000676,Female,"Psoriasis Male","tape stripping method involves the repeated application of adhesive tape to the skin surface, thereby removing stratum corneum layers, it creates a superficial wound showing slight skin irritation (erythema) and loss of barrier function (transepidermal water loss)",6,6,,16S,"3,4",Roche454,"Mann-Whitney (Wilcoxon)",0.1,false,,,,,increased,increased,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 4",Egypt,"Homo sapiens",Feces,UBERON:0001988,Hepatitis,HP:0012115,"male healthy controls","HCV stage 4 male patients","Not stated",8,6,"3 months",16S,4,Illumina,LEfSe,0.1,false,2,,,,decreased,decreased,decreased,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 22","Russian Federation","Homo sapiens",Feces,UBERON:0001988,"Parkinson's disease",MONDO:0005180,"Healthy controls",Parkinson's,,66,89,,16S,"3,4",Illumina,T-Test,0.05,true,,,,,,decreased,,,,Complete,Fatima
"Experiment 1","Study 16","United States of America","Mus musculus",Feces,UBERON:0001988,obesity,EFO:0001073,"normal chow diet","high fat diet","Obesity is (BMI ≥ 30kg/m2)",5,5,,16S,"3,4",Illumina,LEfSe,0.05,true,,,,,unchanged,unchanged,unchanged,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 9","United States of America","Homo sapiens",Breast,UBERON:0000310,"breast carcinoma",EFO:0000305,Control,"Breast Cancer","Not stated",668,72,,16S,"3,4,5",Illumina,DESeq2,0.05,true,,,,,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 3","United States of America","Homo sapiens",Feces,UBERON:0001988,"colorectal cancer",EFO:0005842,controls,"adenocarcinoma of colon and rectum patients","Not stated",89,42,,16S,"3,4",Roche454,"Logistic Regression",0.05,false,,"body mass index,sex","age,body mass index,sex",,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 5","United States of America","Homo sapiens",Lung,UBERON:0002048,"chronic obstructive pulmonary disease",EFO:0000341,controls,"Chronic obstructive pulmonary disease","Not stated",10,22,"2 months",16S,3,Roche454,"Mann-Whitney (Wilcoxon)",0.1,true,,,age,,unchanged,,unchanged,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 15",China,"Homo sapiens",Uterus,UBERON:0000995,"gestational diabetes",EFO:0004593,controls,"Gestational diabetes mellitus","GDM was diagnosed when the fasting plasma glucose ≥5.1 mmol/L or 1 h post-OGTT glycemia ≥10.0 mmol/L or 2 h post-OGTT glycemia ≥8.5 mmol/L, according to the criteria set by International Association of Diabetes and Pregnancy Study Groups (IADPSG)",10,10,"9 months",16S,"3,4",Illumina,"Mann-Whitney (Wilcoxon)",0.05,false,,"age,body mass index",,,unchanged,,,,unchanged,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 17",China,"Homo sapiens",Feces,UBERON:0001988,"anxiety disorder",EFO:0006788,"healthy controls","treatment active Generalized Anxiety disorder","The active state of GAD was defined as a baseline Hamilton Anxiety Rating Scale HAMA score ≥14 upon admission to the hospital. The remissive state was defined as a HAMA score < 7 after 3 months of treatment.",36,40,"2 months",16S,"3,4",Illumina,LEfSe,0.05,true,2,"age,body mass index,sex",,,unchanged,,unchanged,,decreased,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 19",China,"Homo sapiens",Feces,UBERON:0001988,schizophrenia,MONDO:0005090,"Healthy controls",Schizophrenia,"The patients were examined and diagnosed according to the ICD-10 by two trained psychiatric physicians.",53,64,"6 months",16S,"3,4",Illumina,LEfSe,0.05,true,2,,,,unchanged,unchanged,unchanged,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 13",China,"Homo sapiens",Uterus,UBERON:0000995,"cervical glandular intraepithelial neoplasia",EFO:1000165,"Cervical Intraepithelial Neoplasis -1","Cervical Intraepithelial Neoplasis +2",,126,40,,16S,"3,4",Illumina,LEfSe,0.05,true,2,,,,unchanged,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 6","United States of America","Homo sapiens",Feces,UBERON:0001988,"non-alcoholic fatty liver disease",EFO:0003095,"mild/moderate fibrosis","advanced fibrosis","Based on clinical, magnetic resonance, histology assessment; Mild/Moderate NAFLD: fibrosis 0-2. Advanced NAFLD: fibrosis 3-4",72,14,,WMS,,Illumina,"Random Forest Analysis",0.05,true,,,"age,body mass index",,,,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 8",Denmark,"Homo sapiens",Feces,UBERON:0001988,"type II diabetes mellitus",MONDO:0005148,Control,"Diabetes Type 2","The diabetic group had elevated concentration of plasma glucose as determined by a fasting oral glucose tolerance test (OGTT)",10,10,,16S,4,Roche454,"Mann-Whitney (Wilcoxon)",0.05,false,,,,,,unchanged,,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 196",China,"Homo sapiens",Feces,UBERON:0001988,"Henoch-Schoenlein purpura",EFO:1000965,controls,"Henoch-Schönlein Purpura","Henoch-Schönlein Purpura in children",70,85,,16S,"1,2",Illumina,LEfSe,0.05,false,3,"age,sex",,,decreased,,,,decreased,Complete,
"Experiment 1","Study 197","United States of America","Homo sapiens","Oral gland",UBERON:0010047,asthma,MONDO:0004979,non-asthma,"severe asthma","severe asthma",11,15,,16S,4,Illumina,"Mann-Whitney (Wilcoxon)",0.05,false,,,,,unchanged,,,,unchanged,Complete,
"Experiment 1","Study 167",China,"Homo sapiens",Mouth,UBERON:0000165,"squamous cell carcinoma",EFO:0000707,"healthy controls","Stage 4","OSCC  confirmed by biopsy and pathological findings",51,90,,16S,"3,4",Illumina,LEfSe,0.05,false,,,,,increased,unchanged,unchanged,,,Complete,
"Experiment 1","Study 202",Spain,"Homo sapiens",Feces,UBERON:0001988,autism,EFO:0003758,"children with autism non-mental regression (ANMR)","children with autism mental regression (AMR)","Children between 2-6 years old with an agreed clinical diagnosis of autism per the ICD 10th Edition for ASD and DSM-5 who had development regression during the first two years of life.",30,18,,16S,"3,4",Illumina,Kruskall-Wallis,0.05,true,,,,,,,,,,Complete,Claregrieve1
"Experiment 1","Study 213","United States of America","Homo sapiens",Feces,UBERON:0001988,diet,EFO:0002755,"high fiber (Q3 and Q4)","low fiber (Q1 and Q2)","lower quartiles (Q1 and Q2) of fiber intake vs control (Q3 and Q4)",76,75,"no ""long term"" antibiotics use",16S,"3,4","Illumina,Roche454",DESeq2,0.05,true,,,"age,body height,body mass index,body weight,race,sex,smoking behavior",,,,,,,Complete,
"Experiment 1","Study 206",China,"Homo sapiens",Stomach,UBERON:0000945,"gastric cancer",MONDO:0001056,"patients diagnosed with gastritis","patients diagnosed with gastric cancer","Patients with gastric cancer",16,11,,16S,"3,4",Illumina,DESeq2,0.05,true,,,,,,,,,,Complete,
"Experiment 1","Study 126",China,"Homo sapiens",Saliva,UBERON:0001836,"Oral leukoplakia",HP:0002745,"healthy controls","Oral leukoplakia",,19,10,,16S,,Illumina,Kruskall-Wallis,0.05,false,,,,,unchanged,increased,unchanged,,,Complete,"Shaimaa Elsafoury"
"Experiment 1","Study 185",China,"Homo sapiens",Feces,UBERON:0001988,"gastric cancer",MONDO:0001056,controls,"gastric cancer","gastric cancer patients",22,20,"1 month",16S,,Illumina,T-Test,0.05,false,,,,,decreased,increased,unchanged,,increased,Complete,
"Experiment 1","Study 183",Australia,"Homo sapiens",Ileum,UBERON:0002116,"Crohn's disease",EFO:0000384,"crohn disease ASCA negative patients","crohn disease ASCA positive patients","Crohn disease anti-Saccharomyces cerevisiae antibody status",39,38,"3 months",16S,2,"Non-quantitative PCR","Mann-Whitney (Wilcoxon)",0.05,true,,,,,unchanged,unchanged,unchanged,,unchanged,Complete,
"Experiment 1","Study 223",China,"Homo sapiens",Feces,UBERON:0001988,"HIV infection",EFO:0000764,"healthy controls","HIV infected patients","patients infected with HIV",35,33,"4 weeks",16S,4,Illumina,LEfSe,0.05,false,3,"age,sex",,,decreased,,decreased,,decreased,Complete,Claregrieve1
