"Study page name","Study design",PMID,DOI,URL,"Authors list",Title,Journal,Year,Abstract,State,Reviewer
"Study 73","cross-sectional observational, not case-control",30669548,10.3390/ijms20020438,,"Chávez-Carbajal A, Nirmalkar K, Pérez-Lizaur A, Hernández-Quiroz F, Ramírez-Del-Alto S, García-Mena J , Hernández-Guerrero C","Gut Microbiota and Predicted Metabolic Pathways in a Sample of Mexican Women Affected by Obesity and Obesity Plus Metabolic Syndrome","International journal of molecular sciences",2019,"Obesity is an excessive fat accumulation that could lead to complications like metabolic syndrome. There are reports on gut microbiota and metabolic syndrome in relation to dietary, host genetics, and other environmental factors; however, it is necessary to explore the role of the gut microbiota metabolic pathways in populations like Mexicans, where the prevalence of obesity and metabolic syndrome is high. This study identify alterations of the gut microbiota in a sample of healthy Mexican women (CO), women with obesity (OB), and women with obesity plus metabolic syndrome (OMS). We studied 67 women, characterizing their anthropometric and biochemical parameters along with their gut bacterial diversity by high-throughput DNA sequencing. Our results indicate that in OB or OMS women, Firmicutes was the most abundant bacterial phylum. We observed significant changes in abundances of bacteria belonging to the Ruminococcaceae, Lachnospiraceae, and Erysipelotrichaceae families and significant enrichment of gut bacteria from 16 different taxa that might explain the observed metabolic alterations between the groups. Finally, the predicted functional metagenome of the gut microbiota found in each category shows differences in metabolic pathways related to lipid metabolism. We demonstrate that Mexican women have a particular bacterial gut microbiota characteristic of each phenotype. There are bacteria that potentially explain the observed metabolic differences between the groups, and gut bacteria in OMS and OB conditions carry more genes of metabolic pathways implicated in lipid metabolism.",Complete,"Shaimaa Elsafoury"
"Study 74",case-control,23526699,10.1002/oby.20466,,"Verdam FJ, Fuentes S, de Jonge C, Zoetendal EG, Erbil R, Greve JW, Buurman WA, de Vos WM , Rensen SS","Human intestinal microbiota composition is associated with local and systemic inflammation in obesity","Obesity (Silver Spring, Md.)",2013,"OBJECTIVE: Intestinal microbiota have been suggested to contribute to the development of obesity, but the mechanism remains elusive. The relationship between microbiota composition, intestinal permeability, and inflammation in nonobese and obese subjects was investigated. DESIGN AND METHODS: Fecal microbiota composition of 28 subjects (BMI 18.6-60.3 kg m(-2) ) was analyzed by a phylogenetic profiling microarray. Fecal calprotectin and plasma C-reactive protein levels were determined to evaluate intestinal and systemic inflammation. Furthermore, HbA1c , and plasma levels of transaminases and lipids were analyzed. Gastroduodenal, small intestinal, and colonic permeability were assessed by a multisaccharide test. RESULTS: Based on microbiota composition, the study population segregated into two clusters with predominantly obese (15/19) or exclusively nonobese (9/9) subjects. Whereas intestinal permeability did not differ between clusters, the obese cluster showed reduced bacterial diversity, a decreased Bacteroidetes/Firmicutes ratio, and an increased abundance of potential proinflammatory Proteobacteria. Interestingly, fecal calprotectin was only detectable in subjects within the obese microbiota cluster (n = 8/19, P = 0.02). Plasma C-reactive protein was also increased in these subjects (P = 0.0005), and correlated with the Bacteroidetes/Firmicutes ratio (rs = -0.41, P = 0.03). CONCLUSIONS: Intestinal microbiota alterations in obese subjects are associated with local and systemic inflammation, suggesting that the obesity-related microbiota composition has a proinflammatory effect.",Complete,"Shaimaa Elsafoury"
"Study 75",case-control,21188149,10.1371/journal.pone.0015216,,"Charlson ES, Chen J, Custers-Allen R, Bittinger K, Li H, Sinha R, Hwang J, Bushman FD , Collman RG","Disordered microbial communities in the upper respiratory tract of cigarette smokers","PloS one",2010,"Cigarette smokers have an increased risk of infectious diseases involving the respiratory tract. Some effects of smoking on specific respiratory tract bacteria have been described, but the consequences for global airway microbial community composition have not been determined. Here, we used culture-independent high-density sequencing to analyze the microbiota from the right and left nasopharynx and oropharynx of 29 smoking and 33 nonsmoking healthy asymptomatic adults to assess microbial composition and effects of cigarette smoking. Bacterial communities were profiled using 454 pyrosequencing of 16S sequence tags (803,391 total reads), aligned to 16S rRNA databases, and communities compared using the UniFrac distance metric. A Random Forest machine-learning algorithm was used to predict smoking status and identify taxa that best distinguished between smokers and nonsmokers. Community composition was primarily determined by airway site, with individuals exhibiting minimal side-of-body or temporal variation. Within airway habitats, microbiota from smokers were significantly more diverse than nonsmokers and clustered separately. The distributions of several genera were systematically altered by smoking in both the oro- and nasopharynx, and there was an enrichment of anaerobic lineages associated with periodontal disease in the oropharynx. These results indicate that distinct regions of the human upper respiratory tract contain characteristic microbial communities that exhibit disordered patterns in cigarette smokers, both in individual components and global structure, which may contribute to the prevalence of respiratory tract complications in this population.",Complete,"Shaimaa Elsafoury"
"Study 76",case-control,27231166,10.4103/0366-6999.182841,,"Qi CJ, Zhang Q, Yu M, Xu JP, Zheng J, Wang T , Xiao XH","Imbalance of Fecal Microbiota at Newly Diagnosed Type 1 Diabetes in Chinese Children","Chinese medical journal",2016,"BACKGROUND: Recent studies have indicated that an imbalance of gut microbiota is associated with the development of type 1 diabetes mellitus (T1DM) and there is no literature regarding it in Chinese children yet. The aim of this study was to evaluate the alteration of gut microbiota between children with newly diagnosed T1DM and healthy controls and to determine if gut microbiota could partly explain the etiology of this disease. METHODS: A case-control study was carried out with 15 children with T1DM and 15 healthy children. The fecal bacteria composition was investigated by high-throughput sequencing of the V3-V4 region of the 16S rDNA gene and analyzed by the estimators of community richness (Chao) indexes. RESULTS: There was a notable lower richness of fecal bacteria in T1DM group than controls (156.53 ± 36.96 vs. 130.0 ± 32.85, P = 0.047). At the genus level, the composition of Blautia was increased in T1DM group than control group whereas the composition of Haemophilus, Lachnospira, Dialister, and Acidaminococcus was decreased. In addition, we found that the percentage of Blautia was correlated positively with HbA1c (ρ = 0.40, P = 0.031), the numbers of T1DM autoantibodies (ρ = 0.42, P = 0.023), and the titers of tyrosine phosphatase autoantibodies (IA-2) (ρ = 0.82, P = 0.000) in the study. CONCLUSIONS: This study showed that gut microbiota was associated with the development of T1DM by affecting the autoimmunity, and the results suggested a potential therapy for T1DM via modulating the gut microbiota.",Complete,Lwaldron
"Study 77","cross-sectional observational, not case-control",28035686,10.1002/phar.1890,,"Flowers SA, Evans SJ, Ward KM, McInnis MG , Ellingrod VL","Interaction Between Atypical Antipsychotics and the Gut Microbiome in a Bipolar Disease Cohort",Pharmacotherapy,2017,"OBJECTIVES: The atypical antipsychotic (AAP) class is often associated with metabolic disease, but the mechanistic underpinnings of this risk are not understood. Due to reports linking gut bacteria function to metabolic disease, we hypothesize that AAP treatment in adults results in gut dysbiosis potentiating metabolic criteria. This report describes recent findings linking AAP treatment with differences in gut microbiota communities in a human cohort with bipolar disorder (BD). METHODS: In a cross-sectional design, we obtained 16S ribosomal sequences from 117 BD patients (49 AAP treated, 68 non-AAP treated). Analysis of molecular variance (AMOVA) was used to detect significant clustering of microbial communities between groups, and the inverse Simpson Diversity Index was used to calculate alpha diversity. Detection of differentially abundant operational taxonomic units (OTUs) between groups was performed using linear discriminant analysis effect size. RESULTS: The AAP-treated cohort was significantly younger and had an increased body mass index compared with non-AAP-treated patients. Groups did not differ in other psychotropic medication use with the exception of higher use of benzodiazepines in the AAP cohort. We detected significant separation between microbiota communities of AAP-treated and nontreated patients (AMOVA; p=0.04). AAP-treated females showed significant decreased species diversity when compared with non-AAP-treated females (p=0.015). Males showed no significant diversity between treatment groups (p=0.8). Differentially abundant OTUs between treatment groups were OTU1, OTU25, and OTU32 that classified to Lachnospiraceae, Akkermansia, and Sutterella, respectively. CONCLUSIONS: These data suggest that AAP treatment is associated with specific representation of gut bacterial families in AAP-treated patients. In addition, AAP treatment is associated with decreased species richness in female AAP-treated patients.",Complete,"Shaimaa Elsafoury"
"Study 78","laboratory experiment",27829577,10.5056/jnm16105,,"Moussaoui N, Jacobs JP, Larauche M, Biraud M, Million M, Mayer E , Taché Y","Chronic Early-life Stress in Rat Pups Alters Basal Corticosterone, Intestinal Permeability, and Fecal Microbiota at Weaning: Influence of Sex","Journal of neurogastroenterology and motility",2017,"Background/Aims: Wistar rat dams exposed to limited nesting stress (LNS) from post-natal days (PND) 2 to 10 display erratic maternal behavior, and their pups show delayed maturation of the hypothalamic-pituitary-adrenal axis and impaired epithelial barrier at PND10 and a visceral hypersensitivity at adulthood. Little is known about the impact of early life stress on the offspring before adulthood and the influence of sex. We investigated whether male and female rats previously exposed to LNS displays at weaning altered corticosterone, intestinal permeability, and microbiota. Methods: Wistar rat dams and litters were maintained from PND2 to 10 with limited nesting/bedding materials and thereafter reverted to normal housing up to weaning (PND21). Control litters had normal housing. At weaning, we monitored body weight, corticosterone plasma levels (enzyme immunoassay), in vivo intestinal to colon permeability (fluorescein isothiocyanate-dextran 4 kDa) and fecal microbiota (DNA extraction and amplification of the V4 region of the 16S ribosomal RNA gene). Results: At weaning, LNS pups had hypercorticosteronemia and enhanced intestinal permeability with females > males while body weights were similar. LNS decreased fecal microbial diversity and induced a distinct composition characterized by increased abundance of Gram positive cocci and reduction of fiber-degrading, butyrate-producing, and mucus-resident microbes. Conclusions: These data indicate that chronic exposure to LNS during the first week post-natally has sustained effects monitored at weaning including hypercorticosteronemia, a leaky gut, and dysbiosis. These alterations may impact on the susceptibility to develop visceral hypersensitivity in adult rats and have relevance to the development of irritable bowel syndrome in childhood.",Complete,Claregrieve1
"Study 79","time series / longitudinal observational",25710027,10.1155/2015/806248,,"Damms-Machado A, Mitra S, Schollenberger AE, Kramer KM, Meile T, Königsrainer A, Huson DH , Bischoff SC","Effects of surgical and dietary weight loss therapy for obesity on gut microbiota composition and nutrient absorption","BioMed research international",2015,"Evidence suggests a correlation between the gut microbiota composition and weight loss caused by caloric restriction. Laparoscopic sleeve gastrectomy (LSG), a surgical intervention for obesity, is classified as predominantly restrictive procedure. In this study we investigated functional weight loss mechanisms with regard to gut microbial changes and energy harvest induced by LSG and a very low calorie diet in ten obese subjects (n = 5 per group) demonstrating identical weight loss during a follow-up period of six months. For gut microbiome analysis next generation sequencing was performed and faeces were analyzed for targeted metabolomics. The energy-reabsorbing potential of the gut microbiota decreased following LSG, indicated by the Bacteroidetes/Firmicutes ratio, but increased during diet. Changes in butyrate-producing bacterial species were responsible for the Firmicutes changes in both groups. No alteration of faecal butyrate was observed, but the microbial capacity for butyrate fermentation decreased following LSG and increased following dietetic intervention. LSG resulted in enhanced faecal excretion of nonesterified fatty acids and bile acids. LSG, but not dietetic restriction, improved the obesity-associated gut microbiota composition towards a lean microbiome phenotype. Moreover, LSG increased malabsorption due to loss in energy-rich faecal substrates and impairment of bile acid circulation. This trial is registered with ClinicalTrials.gov NCT01344525.",Complete,"Shaimaa Elsafoury"
"Study 80","cross-sectional observational, not case-control",24448554,10.1038/srep03814,,"Mejía-León ME, Petrosino JF, Ajami NJ, Domínguez-Bello MG , de la Barca AM","Fecal microbiota imbalance in Mexican children with type 1 diabetes","Scientific reports",2014,"Dysbiosis of the intestinal microbiota affecting the gut barrier could be triggering Type 1 Diabetes (T1D), the second most frequent autoimmune disease in childhood. This study compared the structure of the fecal microbiota in 29 mestizo children aged 7-18 years, including 8 T1D at onset, 13 T1D after 2 years treatment, and 8 healthy controls. Clinical information was collected, predisposing haplotypes were determined; the fecal DNA was extracted, the V4 region of the 16S rRNA gene amplified and 454-pyrosequenced. The newly diagnosed T1D cases had high levels of the genus Bacteroides (p < 0.004), whereas the control group had a gut microbiota dominated by Prevotella. Children with T1D treated for ≥2 years had levels of Bacteroides and Prevotella compared to those of the control group. The gut microbiota of newly diagnosed T1D cases is altered, but whether it is involved in disease causation or is a consequence of host selection remains unclear.",Complete,"Shaimaa Elsafoury"
"Study 81","time series / longitudinal observational",27306058,10.1186/s13073-016-0312-1,,"Palleja A, Kashani A, Allin KH, Nielsen T, Zhang C, Li Y, Brach T, Liang S, Feng Q, Jørgensen NB, Bojsen-Møller KN, Dirksen C, Burgdorf KS, Holst JJ, Madsbad S, Wang J, Pedersen O, Hansen T , Arumugam M","Roux-en-Y gastric bypass surgery of morbidly obese patients induces swift and persistent changes of the individual gut microbiota","Genome medicine",2016,"BACKGROUND: Roux-en-Y gastric bypass (RYGB) is an effective means to achieve sustained weight loss for morbidly obese individuals. Besides rapid weight reduction, patients achieve major improvements of insulin sensitivity and glucose homeostasis. Dysbiosis of gut microbiota has been associated with obesity and some of its co-morbidities, like type 2 diabetes, and major changes of gut microbial communities have been hypothesized to mediate part of the beneficial metabolic effects observed after RYGB. Here we describe changes in gut microbial taxonomic composition and functional potential following RYGB. METHODS: We recruited 13 morbidly obese patients who underwent RYGB, carefully phenotyped them, and had their gut microbiomes quantified before (n = 13) and 3 months (n = 12) and 12 months (n = 8) after RYGB. Following shotgun metagenomic sequencing of the fecal microbial DNA purified from stools, we characterized the gut microbial composition at species and gene levels followed by functional annotation. RESULTS: In parallel with the weight loss and metabolic improvements, gut microbial diversity increased within the first 3 months after RYGB and remained high 1 year later. RYGB led to altered relative abundances of 31 species (P < 0.05, q < 0.15) within the first 3 months, including those of Escherichia coli, Klebsiella pneumoniae, Veillonella spp., Streptococcus spp., Alistipes spp., and Akkermansia muciniphila. Sixteen of these species maintained their altered relative abundances during the following 9 months. Interestingly, Faecalibacterium prausnitzii was the only species that decreased in relative abundance. Fifty-three microbial functional modules increased their relative abundance between baseline and 3 months (P < 0.05, q < 0.17). These functional changes included increased potential (i) to assimilate multiple energy sources using transporters and phosphotransferase systems, (ii) to use aerobic respiration, (iii) to shift from protein degradation to putrefaction, and (iv) to use amino acids and fatty acids as energy sources. CONCLUSIONS: Within 3 months after morbidly obese individuals had undergone RYGB, their gut microbiota featured an increased diversity, an altered composition, an increased potential for oxygen tolerance, and an increased potential for microbial utilization of macro- and micro-nutrients. These changes were maintained for the first year post-RYGB. TRIAL REGISTRATION: Current controlled trials (ID NCT00810823 , NCT01579981 , and NCT01993511 ).",Complete,"Shaimaa Elsafoury"
"Study 82",case-control,23032991,10.1038/tpj.2012.43,,"Graessler J, Qin Y, Zhong H, Zhang J, Licinio J, Wong ML, Xu A, Chavakis T, Bornstein AB, Ehrhart-Bornstein M, Lamounier-Zepter V, Lohmann T, Wolf T , Bornstein SR","Metagenomic sequencing of the human gut microbiome before and after bariatric surgery in obese patients with type 2 diabetes: correlation with inflammatory and metabolic parameters","The pharmacogenomics journal",2013,"Roux-en-Y gastric bypass (RYGB) has become a prominent therapeutic option for long-term treatment of morbid obesity and type 2 diabetes mellitus (T2D). Cross talk and pathogenetic consequences of RYGB-induced profound effects on metabolism and gut microbiome are poorly understood. The aim of the present study therefore was to characterize intra-individual changes of gut microbial composition before and 3 months after RYGB by metagenomic sequencing in morbidly obese patients (body mass index (BMI)>40 kg m(-)(2)) with T2D. Subsequently, metagenomic data were correlated with clinical indices. Based on gene relative abundance profile, 1061 species, 729 genera, 44 phyla and 5127 KO (KEGG Orthology) were identified. Despite high diversity, bacteria could mostly be assigned to seven bacterial divisions. The overall metagenomic RYGB-induced shift was characterized by a reduction of Firmicutes and Bacteroidetes and an increase of Proteobacteria. Twenty-two microbial species and 11 genera were significantly altered by RYGB. Using principal component analysis, highly correlated species were assembled into two common components. Component 1 consisted of species that were mainly associated with BMI and C-reactive protein. This component was characterized by increased numbers of Proteobacterium Enterobacter cancerogenus and decreased Firmicutes Faecalibacterium prausnitzii and Coprococcus comes. Functional analysis of carbohydrate metabolism by KO revealed significant effects in 13 KOs assigned to phosphotransferase system. Spearmen's Rank correlation indicated an association of 10 species with plasma total- or low-density lipoprotein cholesterol, and 5 species with triglycerides. F. prausnitzii was directly correlated to fasting blood glucose. This is the first clinical demonstration of a profound and specific intra-individual modification of gut microbial composition by full metagenomic sequencing. A clear correlation exists of microbiome composition and gene function with an improvement in metabolic and inflammatory parameters. This will allow to develop new diagnostic and therapeutic strategies based on metagenomic sequencing of the human gut microbiome.",Complete,"Shaimaa Elsafoury"
"Study 83","time series / longitudinal observational",23032991,10.1038/tpj.2012.43,,"Graessler J, Qin Y, Zhong H, Zhang J, Licinio J, Wong ML, Xu A, Chavakis T, Bornstein AB, Ehrhart-Bornstein M, Lamounier-Zepter V, Lohmann T, Wolf T , Bornstein SR","Metagenomic sequencing of the human gut microbiome before and after bariatric surgery in obese patients with type 2 diabetes: correlation with inflammatory and metabolic parameters","The pharmacogenomics journal",2013,"Roux-en-Y gastric bypass (RYGB) has become a prominent therapeutic option for long-term treatment of morbid obesity and type 2 diabetes mellitus (T2D). Cross talk and pathogenetic consequences of RYGB-induced profound effects on metabolism and gut microbiome are poorly understood. The aim of the present study therefore was to characterize intra-individual changes of gut microbial composition before and 3 months after RYGB by metagenomic sequencing in morbidly obese patients (body mass index (BMI)>40 kg m(-)(2)) with T2D. Subsequently, metagenomic data were correlated with clinical indices. Based on gene relative abundance profile, 1061 species, 729 genera, 44 phyla and 5127 KO (KEGG Orthology) were identified. Despite high diversity, bacteria could mostly be assigned to seven bacterial divisions. The overall metagenomic RYGB-induced shift was characterized by a reduction of Firmicutes and Bacteroidetes and an increase of Proteobacteria. Twenty-two microbial species and 11 genera were significantly altered by RYGB. Using principal component analysis, highly correlated species were assembled into two common components. Component 1 consisted of species that were mainly associated with BMI and C-reactive protein. This component was characterized by increased numbers of Proteobacterium Enterobacter cancerogenus and decreased Firmicutes Faecalibacterium prausnitzii and Coprococcus comes. Functional analysis of carbohydrate metabolism by KO revealed significant effects in 13 KOs assigned to phosphotransferase system. Spearmen's Rank correlation indicated an association of 10 species with plasma total- or low-density lipoprotein cholesterol, and 5 species with triglycerides. F. prausnitzii was directly correlated to fasting blood glucose. This is the first clinical demonstration of a profound and specific intra-individual modification of gut microbial composition by full metagenomic sequencing. A clear correlation exists of microbiome composition and gene function with an improvement in metabolic and inflammatory parameters. This will allow to develop new diagnostic and therapeutic strategies based on metagenomic sequencing of the human gut microbiome.",Complete,"Shaimaa Elsafoury"
"Study 84",case-control,23032991,10.1038/tpj.2012.43,,"Graessler J, Qin Y, Zhong H, Zhang J, Licinio J, Wong ML, Xu A, Chavakis T, Bornstein AB, Ehrhart-Bornstein M, Lamounier-Zepter V, Lohmann T, Wolf T , Bornstein SR","Metagenomic sequencing of the human gut microbiome before and after bariatric surgery in obese patients with type 2 diabetes: correlation with inflammatory and metabolic parameters","The pharmacogenomics journal",2013,"Roux-en-Y gastric bypass (RYGB) has become a prominent therapeutic option for long-term treatment of morbid obesity and type 2 diabetes mellitus (T2D). Cross talk and pathogenetic consequences of RYGB-induced profound effects on metabolism and gut microbiome are poorly understood. The aim of the present study therefore was to characterize intra-individual changes of gut microbial composition before and 3 months after RYGB by metagenomic sequencing in morbidly obese patients (body mass index (BMI)>40 kg m(-)(2)) with T2D. Subsequently, metagenomic data were correlated with clinical indices. Based on gene relative abundance profile, 1061 species, 729 genera, 44 phyla and 5127 KO (KEGG Orthology) were identified. Despite high diversity, bacteria could mostly be assigned to seven bacterial divisions. The overall metagenomic RYGB-induced shift was characterized by a reduction of Firmicutes and Bacteroidetes and an increase of Proteobacteria. Twenty-two microbial species and 11 genera were significantly altered by RYGB. Using principal component analysis, highly correlated species were assembled into two common components. Component 1 consisted of species that were mainly associated with BMI and C-reactive protein. This component was characterized by increased numbers of Proteobacterium Enterobacter cancerogenus and decreased Firmicutes Faecalibacterium prausnitzii and Coprococcus comes. Functional analysis of carbohydrate metabolism by KO revealed significant effects in 13 KOs assigned to phosphotransferase system. Spearmen's Rank correlation indicated an association of 10 species with plasma total- or low-density lipoprotein cholesterol, and 5 species with triglycerides. F. prausnitzii was directly correlated to fasting blood glucose. This is the first clinical demonstration of a profound and specific intra-individual modification of gut microbial composition by full metagenomic sequencing. A clear correlation exists of microbiome composition and gene function with an improvement in metabolic and inflammatory parameters. This will allow to develop new diagnostic and therapeutic strategies based on metagenomic sequencing of the human gut microbiome.",Complete,"Shaimaa Elsafoury"
"Study 85","cross-sectional observational, not case-control",28968427,10.1371/journal.pone.0185569,,"Brazier L, Elguero E, Koumavor CK, Renaud N, Prugnolle F, Thomas F, Ategbo S, Engoba M, Obengui EM, Leroy P, Durand F, Renaud P , Becquart","Evolution in fecal bacterial/viral composition in infants of two central African countries (Gabon and Republic of the Congo) during their first month of life","PloS one",2017,"Few studies have analyzed the gut microbiota of child in unindustrialized countries, but none during the first month of life. Stool samples were collected from healthy newborns in hospitals of Gabon (n = 6) and Republic of the Congo (n = 9) at different time points during the first month of life: meconium, day 2 (D02), day 7 (D07) and day 28 (D28). In addition, one fecal sample was collected from each mother after delivery. Metagenomic sequencing was performed to determine the bacterial communities, and multiplex real-time PCR was used to detect the presence of seven enteric viruses (rotavirus a, adenovirus, norovirus I and II, sapovirus, astrovirus, enterovirus) in these samples. Bacterial diversity was high in the first days of life, and was dominated by the genus Prevotella. Then, it rapidly decreased and remained low up to D28 when the gut flora was composed almost exclusively of strictly anaerobic bacteria. Each infant's fecal bacterial microbiota composition was significantly closer to that of their mother than to that of any other woman in the mothers' group, suggesting an intrauterine, placental or amniotic fluid origin of such bacteria. Moreover, bacterial communities differed according to the delivery mode. Overall, the bacterial microbiota communities displayed a similar diversification and expansion in newborns within and between countries during the first four weeks of life. Moreover, six of the fifteen infants of this study harbored enteric viruses (rotavirus, enterovirus and adenovirus) in fecal samples, but never in the meconium. A maternal source for the viruses detected at D02 and D07 can be excluded because none of them was found also in the child's mother. These findings improve our knowledge on the gut bacterial and viral communities of infants from two Sub-Saharan countries during their first month of life.",Complete,"Shaimaa Elsafoury"
"Study 86","time series / longitudinal observational",28512451,10.3389/fmicb.2017.00738,,"Wampach L, Heintz-Buschart A, Hogan A, Muller EEL, Narayanasamy S, Laczny CC, Hugerth LW, Bindl L, Bottu J, Andersson AF, de Beaufort C , Wilmes P","Colonization and Succession within the Human Gut Microbiome by Archaea, Bacteria, and Microeukaryotes during the First Year of Life","Frontiers in microbiology",2017,"Perturbations to the colonization process of the human gastrointestinal tract have been suggested to result in adverse health effects later in life. Although much research has been performed on bacterial colonization and succession, much less is known about the other two domains of life, archaea, and eukaryotes. Here we describe colonization and succession by bacteria, archaea and microeukaryotes during the first year of life (samples collected around days 1, 3, 5, 28, 150, and 365) within the gastrointestinal tract of infants delivered either vaginally or by cesarean section and using a combination of quantitative real-time PCR as well as 16S and 18S rRNA gene amplicon sequencing. Sequences from organisms belonging to all three domains of life were detectable in all of the collected meconium samples. The microeukaryotic community composition fluctuated strongly over time and early diversification was delayed in infants receiving formula milk. Cesarean section-delivered (CSD) infants experienced a delay in colonization and succession, which was observed for all three domains of life. Shifts in prokaryotic succession in CSD infants compared to vaginally delivered (VD) infants were apparent as early as days 3 and 5, which were characterized by increased relative abundances of the genera Streptococcus and Staphylococcus, and a decrease in relative abundance for the genera Bifidobacterium and Bacteroides. Generally, a depletion in Bacteroidetes was detected as early as day 5 postpartum in CSD infants, causing a significantly increased Firmicutes/Bacteroidetes ratio between days 5 and 150 when compared to VD infants. Although the delivery mode appeared to have the strongest influence on differences between the infants, other factors such as a younger gestational age or maternal antibiotics intake likely contributed to the observed patterns as well. Our findings complement previous observations of a delay in colonization and succession of CSD infants, which affects not only bacteria but also archaea and microeukaryotes. This further highlights the need for resolving bacterial, archaeal, and microeukaryotic dynamics in future longitudinal studies of microbial colonization and succession within the neonatal gastrointestinal tract.",Complete,"Shaimaa Elsafoury"
"Study 87",case-control,30224347,10.2337/dc18-0253,,"Leiva-Gea I, Sánchez-Alcoholado L, Martín-Tejedor B, Castellano-Castillo D, Moreno-Indias I, Urda-Cardona A, Tinahones FJ, Fernández-García JC , Queipo-Ortuño MI","Gut Microbiota Differs in Composition and Functionality Between Children With Type 1 Diabetes and MODY2 and Healthy Control Subjects: A Case-Control Study","Diabetes care",2018,"OBJECTIVE: Type 1 diabetes is associated with compositional differences in gut microbiota. To date, no microbiome studies have been performed in maturity-onset diabetes of the young 2 (MODY2), a monogenic cause of diabetes. Gut microbiota of type 1 diabetes, MODY2, and healthy control subjects was compared. RESEARCH DESIGN AND METHODS: This was a case-control study in 15 children with type 1 diabetes, 15 children with MODY2, and 13 healthy children. Metabolic control and potential factors modifying gut microbiota were controlled. Microbiome composition was determined by 16S rRNA pyrosequencing. RESULTS: Compared with healthy control subjects, type 1 diabetes was associated with a significantly lower microbiota diversity, a significantly higher relative abundance of Bacteroides, Ruminococcus, Veillonella, Blautia, and Streptococcus genera, and a lower relative abundance of Bifidobacterium, Roseburia, Faecalibacterium, and Lachnospira. Children with MODY2 showed a significantly higher Prevotella abundance and a lower Ruminococcus and Bacteroides abundance. Proinflammatory cytokines and lipopolysaccharides were increased in type 1 diabetes, and gut permeability (determined by zonulin levels) was significantly increased in type 1 diabetes and MODY2. The PICRUSt analysis found an increment of genes related to lipid and amino acid metabolism, ABC transport, lipopolysaccharide biosynthesis, arachidonic acid metabolism, antigen processing and presentation, and chemokine signaling pathways in type 1 diabetes. CONCLUSIONS: Gut microbiota in type 1 diabetes differs at taxonomic and functional levels not only in comparison with healthy subjects but fundamentally with regard to a model of nonautoimmune diabetes. Future longitudinal studies should be aimed at evaluating if the modulation of gut microbiota in patients with a high risk of type 1 diabetes could modify the natural history of this autoimmune disease.",Complete,"Shaimaa Elsafoury"
"Study 88","cross-sectional observational, not case-control",30268819,10.1016/j.schres.2018.09.014,,"Nguyen TT, Kosciolek T, Maldonado Y, Daly RE, Martin AS, McDonald D, Knight R , Jeste DV","Differences in gut microbiome composition between persons with chronic schizophrenia and healthy comparison subjects","Schizophrenia research",2019,"Intestinal microbiome and gut-brain axis have been receiving increasing attention for their role in the regulation of brain/behavior and possible biological basis of psychiatric disorders. Several recent clinical studies have linked the microbiome with neuropsychiatric conditions, although the literature on schizophrenia is quite limited. This study investigated gut microbiome composition in 50 individuals, including 25 persons with chronic schizophrenia and 25 demographically-matched non-psychiatric comparison subjects (NCs). Stool samples were collected and assayed using 16S rRNA sequencing of the V4 region. Examination of unweighted UniFrac and Bray-Curtis dissimilarity revealed significant community-level separation in microbiome composition between the two subject groups. At the phylum level, Proteobacteria were found to be relatively decreased in schizophrenia subjects compared to NCs. At the genus level, Anaerococcus was relatively increased in schizophrenia while Haemophilus, Sutterella, and Clostridium were decreased. Within individuals with schizophrenia, abundance of Ruminococcaceae was correlated with lower severity of negative symptoms; Bacteroides was associated with worse depressive symptoms; and Coprococcus was related to greater risk for developing coronary heart disease. Our findings provide evidence of altered gut microbial composition in persons with chronic schizophrenia and suggest a need for larger and longitudinal studies of microbiome in schizophrenia.",Complete,
