"Signature page name",Experiment,Study,Source,"Curated date",Curator,"Revision editor",Description,"Abundance in Group 1","MetaPhlAn taxon names","NCBI Taxonomy IDs",State,Reviewer
"Signature 1","Experiment 3","Study 511","Supplementary Table 3","2 August 2021",Claregrieve1,Claregrieve1,"Differential microbial abundance between COVID-19 patients who were not treated with antibiotics and healthy controls",increased,"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria subflava,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia mucilaginosa,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella dispar,k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus",2|1224|28216|206351|481|482|28449;2|1239|91061|186826|186828|117563;2|1239|909932|1843489|31977|29465;2|1224|29547|213849|72294|194;2|201174|1760|85006|1268|32207|43675;2|1239|909932|1843489|31977|29465|39778;2|1239|1737404|1737405|1570339|162289,Complete,Fatima
"Signature 2","Experiment 3","Study 511","Supplementary Table 3","2 August 2021",Claregrieve1,Claregrieve1,"Differential microbial abundance between COVID-19 patients who were not treated with antibiotics and healthy controls",decreased,"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Moryella,k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Treponemataceae|g__Treponema,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella intermedia",2|1239|186801|186802|186803|437755;2|203691|203692|136|2845253|157;2|976|200643|171549|171552|838|28131,Complete,Fatima
"Signature 1","Experiment 4","Study 511","Supplementary Table 4","2 August 2021",Claregrieve1,Claregrieve1,"Differential microbial abundance between healthy controls and COVID-19 patients",increased,"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster citroniae,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium longum,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia mucilaginosa,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella",2|1239|91061|186826|1300|1301;2|1239|91061|186826|33958|46255;2|1239|91061|186826|81852|1350;2|1239|186801|186802|186803|2719313|358743;2|201174|1760|85004|31953|1678|216816;2|201174|1760|85006|1268|32207|43675;2|201174|1760|85006|1268|32207;2|1239|91061|186826|33958|1578;2|201174|1760|2037|2049|1654;2|1239|91061|186826|186828|117563,Complete,Fatima
"Signature 2","Experiment 4","Study 511","Supplementary Table 4","2 August 2021",Claregrieve1,Claregrieve1,"Differential microbial abundance between healthy controls and COVID-19 patients",decreased,"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caccae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia obeum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Tyzzerella|s__[Clostridium] colinum,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola coprophilus",2|1239|186801|186802|186803|572511;2|1239|186801|186802|186803|33042;2|976|200643|171549|815|816|47678;2|1239|186801|186802|186803|572511|40520;2|1239|186801|186802|186803|1506577|36835;2|201174|84998|84999|84107|102106;2|976|200643|171549|815|909656|387090,Complete,Fatima
"Signature 1","Experiment 5","Study 511","Supplementary Table 5","2 August 2021",Claregrieve1,Claregrieve1,"Differential microbial abundance between COVID-19 patients who were not treated with antibiotics and healthy controls",increased,"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster citroniae,k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus anginosus,k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium",2|1239|91061|186826|1300|1301;2|1239|186801|186802|186803|2719313|358743;2|1239|1737404|1737405|1570339|165779;2|1239|91061|186826|1300|1301|1328;2|1239|1737404|1737405|1570339|162289;2|1224|29547|213849|72294|194;2|201174|84998|84999|1643824|1380,Complete,Fatima
"Signature 2","Experiment 5","Study 511","Supplementary Table 5","2 August 2021",Claregrieve1,Claregrieve1,"Differential microbial abundance between COVID-19 patients who were not treated with antibiotics and healthy controls",decreased,"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides eggerthii,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola coprophilus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia obeum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia producta,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Tyzzerella|s__[Clostridium] colinum,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria",2|1239|186801|186802|186803|572511;2|1239|186801|186802|186803|33042;2|976|200643|171549|815|816|28111;2|976|200643|171549|815|909656|387090;2|1239|186801|186802|186803|572511|40520;2|1239|186801|186802|186803|572511|33035;2|1239|186801|186802|186803|207244;2|1239|186801|186802|186803|1506577|36835;2|1224|28216|206351|481|482,Complete,Fatima
"Signature 1","Experiment 1","Study 168","Figure 2B, Figure 3A","20 November 2019","Rimsha Azhar","WikiWorks743,Claregrieve1","Differentially abundant taxa between chronic hepatitis B yellow tongue coating patients and healthy controls",increased,"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,k__Bacteria|p__Proteobacteria",2|1224|28216|80840|119060;2|1224|1236|135615|868;2|1224|28216|80840|80864;2|1224|28216|80840|80864|283;2|1224|28216|80840|119060|47670;2|1224|28216|206351|481|482;2|1224|28216|206351|481;2|1224,Complete,Claregrieve1
"Signature 2","Experiment 1","Study 168","Figure 2B, Figure 3A","20 November 2019","Rimsha Azhar","WikiWorks743,Claregrieve1","Differentially abundant taxa between chronic hepatitis B yellow tongue coating patients and healthy controls",decreased,"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae,k__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Saccharimonadia|o__Candidatus Saccharimonadales|f__Candidatus Saccharimonadaceae|g__Candidatus Saccharimonas,k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptoclostridium,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia",2|201174|1760|85004|31953;2|1224|29547|213849|72294|194;2|1224|29547|213849|72294;2|95818|2093818|2093825|2171986|1331051;2|1239|1737404|1737405|1570339|543311;2|1239|186801|186802|186804|1481960;2|201174|1760|85004|31953|196081,Complete,Claregrieve1
"Signature 1","Experiment 2","Study 168","Figure 2B, Figure 3A","20 November 2019","Rimsha Azhar","WikiWorks743,Fatima,Claregrieve1","Differentially abundant taxa between chronic hepatitis B yellow and white tongue coating patients",increased,"k__Bacteria|p__Candidatus Gracilibacteria,k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,k__Bacteria|p__Proteobacteria",2|363464;2|544448|31969|2085|2092|2093;2|1224|28216|206351|481|482;2|1224|28216|206351|481;2|1224,Complete,Claregrieve1
"Signature 2","Experiment 2","Study 168","Figure 2B, Figure 3A","20 November 2019","Rimsha Azhar","WikiWorks743,Claregrieve1","Differentially abundant taxa between chronic hepatitis B yellow and white tongue coating patients",decreased,"k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Catonella,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella",2|976;2|1239|186801|186802|186803|43996;2|976|200643|171549|171552|838,Complete,Claregrieve1
"Signature 1","Experiment 3","Study 168","Figure 2B, Figure 3A","20 November 2019","Rimsha Azhar","WikiWorks743,Claregrieve1","Differentially abundant taxa between healthy controls and chronic hepatitis B white tongue coating patients",increased,"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Bergeyella,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Centipeda,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas",2|976|117743|200644|2762318|59735;2|1239|526524|526525|128827|118747;2|1239|909932|909929|1843491|82202;2|976|200643|171549|171551;2|976|200643|171549|171551|836,Complete,Claregrieve1
"Signature 2","Experiment 3","Study 168","Figure 2B, Figure 3A","20 November 2019","Rimsha Azhar","WikiWorks743,Claregrieve1","Differentially abundant taxa between healthy controls and chronic hepatitis B white tongue coating patients",decreased,"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Alysiella,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae,k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Pseudoramibacter,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia",2|201174|1760|2037|2049|1654;2|201174|1760|2037|2049;2|1224|28216|206351|481|194195;2|1224|1236|135615|868;2|544448|31969|2085|2092;2|1239|186801|186802|186806|113286;2|201174|1760|85004|31953|196081,Complete,Claregrieve1
"Signature 1","Experiment 1","Study 490","Table 2","4 July 2021",Kwekuamoo,Kwekuamoo,"Comparison of GI microbiota between IBS patients and the
controls",increased,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella,2|1239|909932|1843489|31977|29465,Complete,
"Signature 1","Experiment 1","Study 339","Figure 2 & Supplemental Figure S1& Text","4 July 2020","Zyaijah Bailey","WikiWorks743,Claregrieve1","Differential microbial abundance between UFP-exposed mice and controls",increased,k__Bacteria|p__Verrucomicrobia,2|74201,Complete,Claregrieve1
"Signature 2","Experiment 1","Study 339","Figure 2 & Supplemental Figure S1& Text","4 July 2020","Zyaijah Bailey","WikiWorks743,Claregrieve1","Differential microbial abundance between UFP-exposed mice and controls",decreased,"k__Bacteria|p__Actinobacteria,k__Bacteria|p__Cyanobacteria,k__Bacteria|p__Firmicutes",2|201174;2|1117;2|1239,Complete,Claregrieve1
"Signature 1","Experiment 1","Study 233","Figure 1, Supplemental table S1","18 March 2020","Fatima Zohra","WikiWorks743,Claregrieve1","Differential microbial abundance in the colonic mucosa comparing healthy controls to subjects with chronic, untreated HIV-1 infections",increased,"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae",2|1224|1236|2887326|468|469;2|1224|28211|356|118882;2|1224|1236|2887326|468;2|976|200643|171549|171552|838;2|976|200643|171549|171552;2|1224;2|1224|1236|135614|32033,Complete,Claregrieve1
"Signature 2","Experiment 1","Study 233","Figure 1, Supplemental table S1","18 March 2020","Fatima Zohra","WikiWorks743,Claregrieve1","Differential microbial abundance in the colonic mucosa comparing healthy controls to subjects with chronic, untreated HIV-1 infections",decreased,"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus,k__Bacteria|p__Firmicutes,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae",2|976|200643|171549|815|816;2|1239|186801|186802|186803|572511;2|1239|186801|186802|186803|33042;2|1239;2|976|200643|171549|171551;2|976|200643|171549|171550,Complete,Claregrieve1
"Signature 1","Experiment 1","Study 532","Figure 3, text","16 August 2021",Tislam,"Tislam,Rimsha,Claregrieve1","Differential microbial abundance between healthy controls and RA patients",increased,"k__Bacteria|p__Actinobacteria,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Erwinia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Actinobacteria|c__Coriobacteriia",2|201174;2|201174|1760|2037|2049|1654;2|201174|1760|2037|2049;2|201174|1760|2037;2|1239|91061;2|201174|84998|84999|84107;2|201174|84998|84999;2|201174|84998|1643822|1643826|84111;2|1224|1236|91347|1903409|551;2|1239|186801|186802|186806;2|1239|186801|186802|186806|1730;2|1239|91061|186826;2|1239|91061|186826|1300;2|1239|91061|186826|1300|1301;2|1239|526524|526525|2810281|191303;2|1239|526524|526525|2810281;2|201174;2|201174|84998,Complete,Claregrieve1
"Signature 2","Experiment 1","Study 532","Figure 3, text","16 August 2021",Tislam,"Tislam,Rimsha,Claregrieve1","Differential microbial abundance between healthy controls and RA patients",decreased,"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae,k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Borreliaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium",2|976|200643|171549|2005519;2|203691|203692|136|1643685;2|1239|186801|186802|216572|216851,Complete,Claregrieve1
"Signature 1","Experiment 1","Study 697","Figure 3a","12 October 2022",,,"Figure 3 Compositional differences in baseline gut microbiome. The differentially abundant taxa in the baseline gut microbiome were analyzed with linear discriminate
analysis coupled with effect size measurements (LEfSe) projected with a histogram. The length indicates the effect size associated with a taxon. LDA > 3 in the baseline 16S
rRNA sequencing cohort  were considered statistically different.",increased,"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Tyzzerella",2|1224|1236|135624|83763|83770;2|1239|186801|186802|186803|1506577,Complete,
"Signature 2","Experiment 1","Study 697","Figure 3a","12 October 2022",,,"Figure 3 Compositional differences in baseline gut microbiome. The differentially abundant taxa in the baseline gut microbiome were analyzed with linear discriminate
analysis coupled with effect size measurements (LEfSe) projected with a histogram. The length indicates the effect size associated with a taxon. LDA > 3 in the baseline 16S
rRNA sequencing cohort and LDA >2 in the baseline shotgun whole-genome sequencing subset were considered statistically different. (A) R (responders; green) vs NR
(nonresponders; red);",decreased,"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae,k__Bacteria|p__Verrucomicrobia,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales",2|1239|186801|186802|186804;2|74201;2|74201|203494;2|74201|203494|48461|1647988|239934;2|74201|203494|48461|1647988;2|74201|203494|48461,Complete,
"Signature 1","Experiment 2","Study 697","Figure 3a","12 October 2022",,,"Figure 3 Compositional differences in baseline gut microbiome. The differentially abundant taxa in the baseline gut microbiome were analyzed with linear discriminate
analysis coupled with effect size measurements (LEfSe) projected with a histogram. The length indicates the effect size associated with a taxon. LDA > 3 in the baseline 16S
rRNA sequencing cohort were considered statistically different.",increased,"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola coprocola,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,k__Bacteria|p__Firmicutes|c__Erysipelotrichia,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Tyzzerella,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__[Clostridium] scindens,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia obeum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus",2|976|200643|171549|815|909656|310298;2|201174|1760|85004|31953;2|201174;2|201174|1760|85004;2|201174|1760|85004|31953|1678;2|1239|909932|1843489|31977|906;2|976|200643|171549|171552|1283313;2|1239|186801|186802|186803|572511;2|1239|526524|526525;2|1239|526524;2|1239|526524|526525|128827;2|1224|1236|135624;2|1224|1236|135624|83763;2|1239|909932|1843488|909930|904;2|201174|84998|84999;2|1224|1236|135624|83763|674963;2|1239|186801|186802|186803|28050;2|1239|186801|186802|186803|1506577;2|1239|186801|186802|186803|1506553|29347;2|201174|84998|84999|1643824;2|1239|186801|186802|186803|572511|40520;2|1239|186801|186802|186803|33042,Complete,
"Signature 2","Experiment 2","Study 697","Figure 3a","12 October 2022",,,"Figure 3 Compositional differences in baseline gut microbiome. The differentially abundant taxa in the baseline gut microbiome were analyzed with linear discriminate
analysis coupled with effect size measurements (LEfSe) projected with a histogram. The length indicates the effect size associated with a taxon. LDA > 3 in the baseline 16S
rRNA sequencing cohort  were considered statistically different.",decreased,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium,2|1239|186801|186802|216572|216851,Complete,
"Signature 1","Experiment 3","Study 697","Figure 3a","12 October 2022",,,"Figure 3 Compositional differences in baseline gut microbiome. The differentially abundant taxa in the baseline gut microbiome were analyzed with linear discriminate
analysis coupled with effect size measurements (LEfSe) projected with a histogram. The length indicates the effect size associated with a taxon. LDA >2 in the baseline shotgun whole-genome sequencing subset were considered statistically different.",decreased,"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella sp.",2|976|200643|171549|171552|1283313;2|976|200643|171549|171552|1283313|1872471,Complete,
"Signature 1","Experiment 1","Study 45","Figure 3a & 3b","15 December 2018","Marianthi Thomatos",WikiWorks743,"Relative abundance of rats fed high fat and high surgar diet (HFHS) VS. Controls",increased,"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Allobaculum",2|1239|186801|186802|186803|572511;2|201174|1760|85004|31953|1678;2|1239|909932|1843488|909930|33024;2|1239|526524|526525|128827|174708,Complete,"Shaimaa Elsafoury"
